tournament_id,tournament_en
10000473,X-Bet.co Rampage Series #3
10000485,Southeast Asia Cyber Arena 2018 Finals
10000493,Кубок России 2018. Open Qualifiers #7
10000489,Red Bull Guardians
10000476,World Showdown of Esports #1
10000461,Asia Pro League
10000463,Autumn Brawl
10000472,Asian Dota2 League
10000446,GG.Bet Dota 2 Invitational
10000452,PVP Esports Championship
10000454,Reshuffle Madness
10000439,GG.Bet Dota 2 Battle
10000433,Fusion.bet Weekend Showdown
10000415,Sunrise Cup
10000432,META'18 (S2)
10000401,Sunday ES.BET Invitational #3
10000255,The International 2018
10000379,X-Bet.co Rampage Series #2
10000376,The China Hope Series
10000385,Sunday ES.BET Invitational #1
10000367,Rivalry.gg Rumble
10000294,joinDOTA League Season 13. Europe
10000359,ProDotA Cup Southeast Asia #13
10000375,OpenAI vs Humans
10000347,DOTA Summit 9
10000212,StarLadder ImbaTV Invitational Season 5
10000087,SL i-League Invitational Season 4
10000346,ProDotA Cup Europe #28
10000330,Dota 2 Summer Cup
10000350,ANGGAME China vs SEA #2. Онлайн Final
10000327,X-Bet.co Rampage Series #1
10000340,MPGL Asian Championship
10000333,ProDotA Cup China #3
10000320,QIWI TEAM PLAY Season 1
10000239,China Dota2 Supermajor
10000293,ProDotA Cup Europe #27
10000292,ProDotA Cup Southeast Asia #12
10000288,Чемпионат России по компьютерному спорту
10000210,ESL One Birmingham 2018
10000201,Dota2 Professional League Season 5 — Secondary
10000194,MDL Changsha Major
10000247,Taurora Dota 2 Invitational #1
10000226,ProDotA Cup Europe #26
10000127,GESC: Thailand Minor
10000124,EPICENTER XL
10000238,China Dota2 Supermajor. Closed Qualifiers
10000174,GESC: Thailand Minor — Closed Qualifier
10000237,ESL One Birmingham 2018. Closed Qualifiers
10000185,Dota2 Professional League Season 5 — Top League
10000190,MDL Changsha Major. Closed Qualifiers
10000147,joinDOTA League Season 12. America
10000148,joinDOTA League Season 12. Asia
10000235,ESL One Birmingham 2018 — Open Qualifiers
10000233,China Dota2 Supermajor. Open Qualifiers
10000149,joinDOTA League Season 12. Europe
10000123,Dota 2 Asia Championships 2018
10000220,Dota 2 Asia Championships 2018. Solo Championship
10000186,StarLadder ImbaTV Invitational Season 5. Closed Qualifiers
10000126,DreamLeague Season 9
10000215,EPICENTER XL. Madness Qualifier
10000160,EPICENTER XL. Closed Qualifier
10000117,EPICENTER XL. Open Qualifier
10000181,SL i-League Invitational Season 5. Open Qualifier
10000125,GESC: Indonesia Minor
10000135,WESG 2017 Dota 2
10000122,The Bucharest Major
10000171,ANGGAME China против Sea - Онлайн Final
10000158,DreamLeague Season 9. Qualifier
10000169,Шоу-матч от MediaMarkt
10000120,ESL One Katowice 2018
10000092,GESC E-Series: Jakarta. Qualifier
10000114,Dota 2 Asia Championships 2018. Closed Qualifier
10000156,#helpflow
10000107,OverPower Cup Europe #3
10000108,WESG 2017. North America
10000151,WESG 2017. South America
10000146,Dota 2 Asia Championships 2018. Open Qualifiers
10000086,ESL One Genting 2018
10000113,ESL One Katowice 2018 NA Last Chance Qualifier
10000106,OverPower Cup China #1
10000085,Galaxy Battles II
10000111,Dota2 Professional League Season 4 — Стыковые матчи
10000072,MID.TV Challenge Cup
10000089,The Bucharest Major 2018. Closed Qualifier
10000105,WESG 2017. Канада
10000104,WESG 2017. Usa
10000102,DreamLeague Season 9. Open Qualifiers
10000096,WESG 2017 APAC Finals
10000094,ESL One Katowice 2018. Regional Qualifier
10000076,SL i-League Invitational Season 4. Closed Qualifiers
10000095,The Bucharest Major 2018. Open Qualifier
10000093,ESL One Katowice 2018. Open Qualifier
235743,Captains Draft 4.0
10000077,H-Cup Season 9
10000068,ProDotA Cup China #2
10000064,ESL One Genting 2018. Qualifier
10000057,ProDotA Cup Europe #25
10000021,Galaxy Battles 2. Qualifier
10000065,The Summit 8
10000069,H-Cup Season 8
233076,joinDOTA League Season 11. Europe
10000066,ESL One Genting 2018. Open Qualifier
10000025,MDL Macau
227499,ROG MASTERS 2017
233169,joinDOTA League Season 11. Asia
232593,DreamLeague Season 8
10000026,ProDotA Cup Europe #24
10000024,ProDotA Cup China #1
10000017,Midas Mode
10000033,WESG 2017 Europe Finals
231836,The Perfect World Masters
10000039,2017 China Top. Dota 2
10000040,Adrenaline Cyber League 2017
232685,DreamLeague Season 8. Qualifiers Sea
10000027,Blood in the Streets Americas
10000018,The Summit 8. Qualifiers
233149,DreamLeague Season 8. Qualifiers Cis Europe
10000020,Mars Dota League Macau. Closed Qualifiers
235742,Captains Draft 4.0. Qualifier
232543,DreamLeague Season 8. Североамериканские Qualifiers
232800,Dota2 Professional League 2017 Season 4 — Top League
10000019,Mars Dota League Macau. Open Qualifiers
233048,Dota2 Professional League 2017 Season 4 — Secondary
227501,ROG MASTERS 2017. American Qualifier
232404,AMD SAPPHIRE Dota PIT League Season 6
233642,ProDotA Cup Europe #23
228787,WellPlay Invitational #9
10000011,World Cyber Arena 2017. Final южноамериканской Qualifier
231036,ESL One Hamburg 2017
234954,Adrenaline Cyber League 2017. Closed Qualifier
227556,ROG MASTERS 2017. Asian Qualifier
233682,ProDotA Cup Southeast Asia #11
235592,World Cyber Arena 2017. Final североамериканской Qualifier
235521,WESG 2017. Ukrainian Open Qualifiers
230315,PGL Open Bucharest 2017
231477,The Major League
235375,WESG 2017. LAN-Final Russian Qualifiers
235393,WESG 2017. Open Qualifier Germany
