team_id,team_name
291093.0,BTC Gaming
291089.0,Power Rangers
291087.0,Ivory
291085.0,1win Team
291083.0,Nigma Galaxy
291077.0,1win Team
291081.0,Roar Gaming
291079.0,Ivory
291069.0,Zero Tenacity
291073.0,Estar Backs
291075.0,Power Rangers
291065.0,BTC Gaming
291067.0,Estar Backs
291071.0,Power Rangers
291061.0,Ivory
291063.0,Roar Gaming
291059.0,Nigma Galaxy
291057.0,Ivory
291055.0,1win Team
291053.0,Nigma Galaxy
292914.0,Two Move
292860.0,Team Lynx
292748.0,Team Lynx
292858.0,Power Rangers
292750.0,Rune Eaters
292752.0,Inner Circle
292678.0,Rune Eaters
292680.0,MODUS
292670.0,Two Move
292672.0,Inner Circle
292674.0,Power Rangers
292664.0,Inner Circle
292668.0,MODUS
292666.0,Power Rangers
292398.0,Ilbirs eSports
292394.0,Team Nemesis
292400.0,Team Lynx
292378.0,Team Stels
292396.0,Ilbirs eSports
292392.0,MODUS
292402.0,Team Lynx
292390.0,Inner Circle
292388.0,Enjoy Boys
292386.0,Two Move
292384.0,Power Rangers
292372.0,DOGSENT
292380.0,Rune Eaters
292376.0,DOGSENT
292374.0,Team Nemesis
292382.0,Team Nemesis
292370.0,Team Stels
292368.0,Power Rangers
292366.0,Ilbirs eSports
292364.0,ALIS VENTORUS
292362.0,MODUS
292360.0,Team Stels
292358.0,MODUS
292356.0,Inner Circle
292354.0,MODUS
292352.0,Power Rangers
292350.0,Rune Eaters
292348.0,Inner Circle
292346.0,ALIS VENTORUS
292344.0,Inner Circle
291006.0,Team Lynx
292915.0,Power Rangers
292861.0,Power Rangers
292749.0,Two Move
292859.0,MODUS
292751.0,Power Rangers
292753.0,MODUS
292679.0,Two Move
292681.0,Enjoy Boys
292671.0,Enjoy Boys
292673.0,Team Lynx
292675.0,Team Nemesis
292665.0,Team Nemesis
292669.0,Rune Eaters
292667.0,Team Lynx
292399.0,Two Move
292395.0,Team Lynx
292401.0,MODUS
292379.0,ALIS VENTORUS
292397.0,Team Lynx
292393.0,Team Nemesis
292403.0,DOGSENT
292391.0,Enjoy Boys
292389.0,Power Rangers
292387.0,Team Lynx
292385.0,Team Stels
292373.0,Two Move
292381.0,Power Rangers
292377.0,Team Nemesis
292375.0,Ilbirs eSports
292383.0,Two Move
292371.0,Enjoy Boys
292369.0,Inner Circle
292367.0,DOGSENT
292365.0,Rune Eaters
292363.0,Two Move
292361.0,Rune Eaters
292359.0,Ilbirs eSports
292357.0,ALIS VENTORUS
292355.0,DOGSENT
292353.0,ALIS VENTORUS
292351.0,Enjoy Boys
292349.0,Team Stels
292347.0,Enjoy Boys
292345.0,Rune Eaters
291007.0,Nemiga Gaming
,Nemiga Gaming
295450.0,Power Rangers
295452.0,4ikibamboni
295472.0,Zero Tenacity
295438.0,Flame Esports
295440.0,summer bear
295446.0,4ikibamboni
295432.0,summer bear
295430.0,Flame Esports
295434.0,Zero Tenacity
295436.0,Team Spirit Academy
295198.0,Power Rangers
295192.0,Zero Tenacity
295196.0,Team Spirit Academy
295194.0,VP.Prodigy
294254.0,Flame Esports
294240.0,Power Rangers
294238.0,Flame Esports
294266.0,Flame Esports
294264.0,4ikibamboni
294268.0,Nande+4
294262.0,G-Time
294260.0,Team Spirit Academy
294258.0,Power Rangers
294256.0,summer bear
294252.0,G-Time
294250.0,4ikibamboni
294248.0,Nande+4
294246.0,Ilbirs eSports
294244.0,Balu Team
294242.0,Ilbirs eSports
294236.0,VP.Prodigy
294234.0,Zero Tenacity
294232.0,VP.Prodigy
294230.0,Nande+4
294228.0,summer bear
294226.0,4ikibamboni
294224.0,Hive-
294222.0,Zero Tenacity
294220.0,G-Time
294218.0,Ilbirs eSports
294216.0,Zero Tenacity
294214.0,Balu Team
294212.0,Hive-
294210.0,Balu Team
295451.0,4ikibamboni
295453.0,Zero Tenacity
295473.0,Flame Esports
295439.0,Hive-
295441.0,Zero Tenacity
295447.0,Power Rangers
295433.0,Power Rangers
295431.0,4ikibamboni
295435.0,VP.Prodigy
295437.0,Hive-
295199.0,Hive-
295193.0,Flame Esports
295197.0,summer bear
295195.0,4ikibamboni
294255.0,4ikibamboni
294241.0,Flame Esports
294239.0,Nande+4
294267.0,Team Spirit Academy
294265.0,Team Spirit Academy
294269.0,Ilbirs eSports
294263.0,Hive-
294261.0,Nande+4
294259.0,Team Spirit Academy
294257.0,Hive-
294253.0,VP.Prodigy
294251.0,Power Rangers
294249.0,Power Rangers
294247.0,Flame Esports
294245.0,summer bear
294243.0,Power Rangers
294237.0,Zero Tenacity
294235.0,summer bear
294233.0,Balu Team
294231.0,4ikibamboni
294229.0,VP.Prodigy
294227.0,Ilbirs eSports
294225.0,Zero Tenacity
294223.0,Balu Team
294221.0,summer bear
294219.0,Team Spirit Academy
294217.0,G-Time
294215.0,Hive-
294213.0,VP.Prodigy
294211.0,G-Time
295912.0,LenS Team
295914.0,VooDooSh Team
295910.0,VooDooSh Team
295916.0,ALOHADANCE Team
295920.0,Stray Team
295906.0,VooDooSh Team
295918.0,By_Owl Team
295908.0,LenS Team
295984.0,Stray Team
295982.0,VooDooSh Team
295980.0,Stariy_bog Team
295978.0,Stray Team
295976.0,zxcursed Team
295974.0,zxcursed Team
295968.0,zxcursed Team
295972.0,Stray Team
295970.0,Gorgc Team
295904.0,ALOHADANCE Team
295902.0,By_Owl Team
295900.0,Stariy_bog Team
295913.0,By_Owl Team
295915.0,By_Owl Team
295911.0,LenS Team
295917.0,By_Owl Team
295921.0,ALOHADANCE Team
295907.0,Stray Team
295919.0,Gorgc Team
295909.0,By_Owl Team
295985.0,LenS Team
295983.0,By_Owl Team
295981.0,Gorgc Team
295979.0,Gorgc Team
295977.0,VooDooSh Team
295975.0,ALOHADANCE Team
295969.0,By_Owl Team
295973.0,Stariy_bog Team
295971.0,LenS Team
295905.0,VooDooSh Team
295903.0,ALOHADANCE Team
295901.0,LenS Team
298046.0,Zero Tenacity
298044.0,Team Spirit Academy
298040.0,Level UP
298042.0,Team Syntax
298036.0,Yellow Submarine
298032.0,Nemiga Gaming
298034.0,Rottweilas
298038.0,Zero Tenacity
298030.0,Rune Eaters Arise
298024.0,Level UP
298026.0,Yellow Submarine
298028.0,Zero Tenacity
298047.0,Yellow Submarine
298045.0,Team Syntax
298041.0,Yellow Submarine
298043.0,Rune Eaters Arise
298037.0,Team Spirit Academy
298033.0,Level UP
298035.0,Team Syntax
298039.0,Rune Eaters Arise
298031.0,Team Syntax
298025.0,Team Spirit Academy
298027.0,Nemiga Gaming
298029.0,Rottweilas
298116.0,MEGA
298118.0,2b_team
297474.0,ultimate strike ww
297472.0,MEGA
298258.0,Виндизели
298254.0,Виндизели
298256.0,ЗаНастеньку
298244.0,Виндизели
298248.0,ЗаНастеньку
298246.0,Парижане
298250.0,Фруктоеды
298048.0,Team Spirit Academy
298117.0,ultimate strike ww
298119.0,NoImprove
297475.0,NoImprove
297473.0,2b_team
298259.0,ЗаНастеньку
298255.0,Бумеры
298257.0,Не повезло
298245.0,Грифоны
298249.0,Парагонормальное явление
298247.0,Бумеры
298251.0,Не повезло
298049.0,Yellow Submarine
